173,94,5,77,2,123,3,9,40
156,89,12,86,3,125,0,15,27
147,94,3,62,6,132,2,15,31
128,55,9,45,0,91,3,6,13
68,54,1,40,4,59,1,5,21
78,30,0,25,4,80,5,7,6
56,21,11,32,2,51,4,3,5
52,19,1,7,4,48,11,12,2
45,24,2,25,6,52,1,5,8
57,21,0,22,1,66,0,9,4
41,10,2,22,7,51,6,3,2
47,27,0,28,4,23,0,1,7
35,14,2,14,0,36,4,2,4
42,16,14,11,0,43,2,1,2
33,26,0,7,2,28,2,4,6
18,10,0,6,0,14,0,2,4
8,5,1,9,1,21,0,1,1
10,6,15,6,0,11,2,2,0
16,3,1,3,0,4,2,1,0
4,1,3,2,0,4,0,0,0
2,0,0,1,0,2,0,0,0
0,0,0,1,0,3,0,1,0
1,1,0,0,0,5,0,0,0
0,0,1,1,1,2,0,0,0
0,0,0,0,0,2,0,0,0
1,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0
